VISITID,VISITSEQ,PAGEID,PAGESEQ,USERTYPE,EAMNUM,SUBNUM
1234,10,100,1,X,1,ABC 1234 001
1234,10,100,1,X,2,ABC 1234 002
1234,10,100,1,X,3,ABC 1234 003
1234,10,100,1,X,4,ABC 1234 004
1234,10,100,1,X,5,ABC 1234 005
1234,10,100,2,X,6,ABC 1234 006
1234,10,100,2,X,7,ABC 1234 007
1234,10,100,2,X,8,ABC 1234 008
1234,10,100,2,X,9,ABC 1234 009
1234,10,100,2,X,3,ABC 1234 010
1234,10,100,2,X,3,ABC 1234 011
1234,10,100,2,X,3,ABC 1234 012
1234,10,100,2,X,3,ABC 1234 013
1234,10,100,1,X,14,ABC 1234 014
1234,10,100,1,X,15,ABC 1234 015
1234,10,100,1,X,16,ABC 1234 016
1234,10,100,1,X,17,ABC 1234 017
1234,10,100,3,X,10,ABC 1234 018
1234,10,100,3,X,10,ABC 1234 019
1234,10,100,3,X,10,ABC 1234 020
1234,10,100,3,X,10,ABC 1234 021
1234,10,100,3,X,22,ABC 1234 022
1234,10,100,3,X,23,ABC 1234 023
1234,10,100,3,X,24,ABC 1234 024
1234,10,100,3,X,25,ABC 1234 025
1234,10,100,3,X,26,ABC 1234 026
1234,10,100,1,X,27,ABC 1234 027
1234,10,100,1,X,28,ABC 1234 028
1234,10,100,1,X,29,ABC 1234 029
1234,10,100,4,X,30,ABC 1234 030
1234,10,100,4,X,31,ABC 1234 031
1234,10,100,4,X,32,ABC 1234 032
1234,10,100,4,X,33,ABC 1234 033
1234,10,100,4,X,34,ABC 1234 034
1234,10,100,4,X,35,ABC 1234 035
1234,10,100,4,X,36,ABC 1234 036
1234,10,100,4,X,37,ABC 1234 037
1234,10,100,4,X,38,ABC 1234 038
1234,10,100,1,X,39,ABC 1234 039
1234,10,100,1,X,40,ABC 1234 040
1234,10,100,5,X,41,ABC 1234 041
1234,10,100,5,X,42,ABC 1234 042
1234,10,100,5,X,43,ABC 1234 043
1234,10,100,5,X,44,ABC 1234 044
1234,10,100,5,X,45,ABC 1234 045
1234,10,100,5,X,46,ABC 1234 046
1234,10,100,1,X,47,ABC 1234 047
1234,10,100,1,X,48,ABC 1234 048
1234,10,100,1,X,49,ABC 1234 049
1234,10,100,1,X,50,ABC 1234 050
1234,10,100,1,X,51,ABC 1234 051
1234,10,100,1,X,52,ABC 1234 052
1234,10,100,1,X,53,ABC 1234 053
1234,10,100,1,X,54,ABC 1234 054
1234,10,100,1,X,55,ABC 1234 055
1234,10,100,1,X,56,ABC 1234 056
1234,10,100,1,X,57,ABC 1234 057
1234,10,100,1,X,58,ABC 1234 058
1234,10,100,1,X,59,ABC 1234 059
1234,10,100,1,X,60,ABC 1234 060
1234,10,100,1,X,61,ABC 1234 061
1234,10,100,1,X,62,ABC 1234 062
1234,10,100,1,X,63,ABC 1234 063
1234,10,100,1,X,64,ABC 1234 064
1234,10,100,1,X,65,ABC 1234 065
1234,10,100,1,X,66,ABC 1234 066
1234,10,100,1,X,67,ABC 1234 067
1234,10,100,1,X,68,ABC 1234 068
1234,10,100,1,X,69,ABC 1234 069
1234,10,100,1,X,70,ABC 1234 070
1234,10,100,1,X,71,ABC 1234 071
1234,10,100,1,X,72,ABC 1234 072
1234,10,100,1,X,73,ABC 1234 073
1234,10,100,1,X,74,ABC 1234 074
1234,10,100,1,X,75,ABC 1234 075
1234,10,100,1,X,76,ABC 1234 076
1234,10,100,1,X,77,ABC 1234 077
1234,10,100,1,X,78,ABC 1234 078
1234,10,100,1,X,79,ABC 1234 079
1234,10,100,1,X,80,ABC 1234 080
1234,10,100,1,X,81,ABC 1234 081
1234,10,100,1,X,82,ABC 1234 082
1234,10,100,1,X,83,ABC 1234 083
1234,10,100,1,X,84,ABC 1234 084
1234,10,100,1,X,85,ABC 1234 085
1234,10,100,1,X,86,ABC 1234 086
1234,10,100,1,X,87,ABC 1234 087
1234,10,100,1,X,88,ABC 1234 088
1234,10,100,1,X,89,ABC 1234 089
1234,10,100,1,X,90,ABC 1234 090
1234,10,100,1,X,91,ABC 1234 091
1234,10,100,1,X,92,ABC 1234 092
1234,10,100,1,X,93,ABC 1234 093
